,file_name,car,quantity_car,average_speed_car,van,quantity_van,average_speed_van,bus,quantity_bus,average_speed_bus,mean_values,total_quantity_car,total_quantity_van,total_quantity_bus
0,KRA-2-7-2023-08-22-evening,car,430,32.64,van,15,25.3,bus,22,26.75,91.94833333333334,89795,4822,1998
1,KRA-2-7-2023-08-22-morning,car,400,39.15,van,30,33.28,bus,29,27.17,93.09999999999998,89795,4822,1998
2,KRA-2-7-2023-08-23-evening,car,517,32.07,van,30,34.57,bus,20,28.13,110.29500000000002,89795,4822,1998
3,KRA-2-9-2023-08-22-evening,car,521,22.41,van,16,19.34,bus,16,17.84,102.09833333333334,89795,4822,1998
4,KRA-2-9-2023-08-24-morning,car,735,24.53,van,25,20.57,bus,13,23.49,140.26500000000001,89795,4822,1998
5,KRA-2-10-2023-08-18-evening,car,541,15.07,van,11,15.57,bus,17,12.21,101.97500000000002,89795,4822,1998
6,KRA-2-10-2023-08-21-morning,car,605,18.48,van,16,15.05,bus,23,14.36,115.315,89795,4822,1998
7,KRA-2-10-2023-09-11-morning,car,261,28.67,van,5,26.06,bus,9,17.13,57.81,89795,4822,1998
8,KRA-3-12-2023-08-21-evening,car,425,41.66,van,34,37.91,bus,12,32.82,97.23166666666667,89795,4822,1998
9,KRA-3-12-2023-08-21-morning,car,467,40.04,van,26,34.69,bus,18,32.69,103.07000000000001,89795,4822,1998
10,KRA-3-12-2023-08-22-evening,car,429,37.18,van,44,31.55,bus,14,30.63,97.72666666666667,89795,4822,1998
11,KRA-3-12-2023-08-22-morning,car,425,39.1,van,37,34.45,bus,12,35.42,97.16166666666668,89795,4822,1998
12,KRA-3-13-2023-08-07-evening,car,689,35.21,van,39,36.91,bus,16,24.61,140.12166666666667,89795,4822,1998
13,KRA-3-13-2023-08-07-morning,car,210,35.6,van,10,28.92,bus,12,20.96,52.91333333333333,89795,4822,1998
14,KRA-3-13-2023-08-08-evening,car,629,37.04,van,49,34.65,bus,18,23.05,131.79,89795,4822,1998
15,KRA-3-14-2023-08-11-morning,car,433,19.36,van,32,23.57,bus,9,13.69,88.43666666666668,89795,4822,1998
16,KRA-3-14-2023-08-17-evening,car,301,25.78,van,19,21.81,bus,6,6.16,63.291666666666664,89795,4822,1998
17,KRA-3-14-2023-08-18-evening,car,333,23.88,van,8,27.96,bus,8,6.99,67.97166666666666,89795,4822,1998
18,KRA-4-18-2023-08-25-morning,car,238,44.75,van,22,40.06,bus,10,43.18,66.33166666666666,89795,4822,1998
19,KRA-4-19-2023-08-28-evening,car,306,34.99,van,21,30.09,bus,8,25.16,70.87333333333333,89795,4822,1998
20,KRA-4-21-2023-08-23-evening,car,294,54.35,van,35,49.99,bus,9,30.5,78.80666666666667,89795,4822,1998
21,KRA-7-26-2023-08-10-evening,car,555,46.42,van,26,42.99,bus,6,45.13,120.25666666666666,89795,4822,1998
22,KRA-8-28-2023-08-18-morning,car,540,56.95,van,113,49.99,bus,10,54.91,137.475,89795,4822,1998
23,KRA-8-31-2023-08-22-morning,car,312,32.61,van,93,30.58,bus,8,24.66,83.47500000000001,89795,4822,1998
24,KRA-8-32-2023-08-18-evening,car,328,42.43,van,23,41.48,bus,2,43.61,80.08666666666667,89795,4822,1998
25,KRA-9-34-2023-08-21-morning,car,845,31.3,van,112,27.74,bus,14,24.89,175.8216666666667,89795,4822,1998
26,KRA-9-35-2023-08-23-evening,car,522,40.65,van,64,37.78,bus,11,34.23,118.27666666666666,89795,4822,1998
27,KRA-14-45-2023-08-31-morning,car,806,33.61,van,77,33.13,bus,41,29.87,170.10166666666666,89795,4822,1998
28,KRA-19-54-2023-08-18-morning,car,414,29.76,van,51,25.66,bus,7,19.48,91.14999999999999,89795,4822,1998
29,KRA-20-58-2023-08-08-morning,car,572,36.99,van,8,33.58,bus,12,29.71,115.38000000000001,89795,4822,1998
30,KRA-20-59-2023-08-07-morning,car,685,33.9,van,15,33.43,bus,9,30.53,134.47666666666666,89795,4822,1998
31,KRA-21-62-2023-08-07-morning,car,215,26.11,van,7,20.21,bus,0,0.0,44.72,89795,4822,1998
32,KRA-25-73-2023-08-24-morning,car,778,25.38,van,46,28.29,bus,39,19.69,156.06,89795,4822,1998
33,KRA-25-74-2023-08-23-morning,car,699,31.08,van,29,28.09,bus,38,16.03,140.20000000000002,89795,4822,1998
34,KRA-43-161-2023-08-07-evening,car,35,32.16,van,1,29.0,bus,0,0.0,16.19333333333333,89795,4822,1998
35,KRA-43-162-2023-09-07-morning,car,41,42.68,van,0,0.0,bus,0,0.0,13.946666666666667,89795,4822,1998
36,KRA-43-164-2023-08-08-evening,car,1178,28.48,van,42,26.67,bus,48,21.16,224.0516666666667,89795,4822,1998
37,KRA-44-168-2023-08-29-evening,car,466,15.95,van,13,15.45,bus,21,14.68,91.01333333333332,89795,4822,1998
38,KRA-44-168-2023-08-29-morning,car,500,23.73,van,10,17.88,bus,24,19.11,99.12,89795,4822,1998
39,KRA-44-168-2023-08-30-evening,car,309,24.23,van,5,15.94,bus,24,23.94,67.01833333333333,89795,4822,1998
40,KRA-44-168-2023-08-30-morning,car,492,19.76,van,17,17.07,bus,22,14.75,97.09666666666668,89795,4822,1998
41,KRA-44-168-2023-08-31-evening,car,412,25.26,van,23,23.31,bus,21,23.29,87.97666666666667,89795,4822,1998
42,KRA-44-168-2023-08-31-morning,car,513,20.43,van,8,18.92,bus,22,21.98,100.72166666666665,89795,4822,1998
43,KRA-44-169-2023-08-16-evening,car,223,24.68,van,3,20.11,bus,0,0.0,45.13166666666667,89795,4822,1998
44,KRA-44-169-2023-08-17-evening,car,140,25.93,van,0,0.0,bus,0,0.0,27.655,89795,4822,1998
45,KRA-44-169-2023-08-17-morning,car,128,26.72,van,6,26.53,bus,0,0.0,31.208333333333332,89795,4822,1998
46,KRA-44-169-2023-08-18-evening,car,203,20.07,van,3,18.63,bus,0,0.0,40.78333333333333,89795,4822,1998
47,KRA-44-169-2023-08-18-morning,car,124,20.56,van,18,20.59,bus,0,0.0,30.525000000000002,89795,4822,1998
48,KRA-44-169-2023-08-21-morning,car,150,21.37,van,7,18.14,bus,0,0.0,32.751666666666665,89795,4822,1998
49,KRA-45-170-2023-08-17-evening,car,143,25.76,van,10,25.7,bus,0,0.0,34.07666666666666,89795,4822,1998
